0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,label
-109.71035,87.31245,9.860796,18.064543,-7.7905264,-7.98141,-16.22489,0.12083004,-14.406392,-7.596943,-5.48513,1.4570068,-9.937827,-0.9913601,-8.924725,-2.5959382,-2.5712976,-3.6628146,-5.7013817,-2.3019514,-4.1905727,-2.0477846,-6.400914,-3.2098389,-7.2917776,-3.8004525,-4.551228,-3.5877964,-7.9764366,-2.4949255,0
-197.2961,145.7176,-25.739809,15.50219,-11.361339,-15.826908,-14.723141,-13.548537,-6.732596,-6.361254,1.3994904,-3.7262456,-6.44348,2.922208,-6.4041414,-6.0787873,-7.678,-3.8780303,-10.594701,-2.7428994,-6.665479,-8.77218,-5.1426315,-5.207829,-5.277773,-0.6283838,-5.283699,-1.2872486,-3.1765904,-2.2555814,0
-123.13494,43.47614,-17.356964,9.891266,-21.513855,-5.5731363,-21.078875,-17.708092,-9.529492,-15.460305,-2.1507,-9.835813,-6.3451605,-0.057547886,-11.4741535,-1.6799488,-5.2530274,-2.3699324,-3.2074652,1.0866174,-3.5405176,5.035502,-2.1872818,4.438418,-3.1358888,2.3163574,-2.4141083,-0.28761718,-1.9536352,-1.0003064,0
-195.49829,111.55061,18.431204,8.510427,-1.6335548,-3.7365062,-29.109343,-6.2445846,-17.577932,-18.846315,-4.8664675,-12.824272,-26.223223,6.277151,-14.938752,-20.91685,-0.9471598,-15.540937,-13.5360985,-6.022457,-13.6416445,-7.851002,-4.547068,-6.8647547,-0.79625535,0.50491077,-4.52529,3.7611003,-3.8937633,-2.9773319,0
-212.85422,77.469025,-23.308588,-0.08282682,-32.46714,-28.876516,-24.383213,-19.7661,-18.367208,-4.9263735,-18.134682,-12.671528,-21.087484,-11.751807,-14.662616,-11.3584,-7.221298,-6.026564,-7.313758,-2.590394,-3.397248,-6.825596,-6.865869,-2.447988,-10.187885,-8.783827,-9.298669,-7.516511,-3.4966629,-3.3398807,0
-93.37799,97.10322,17.858826,24.537462,-13.367048,-0.3515696,-6.797651,-13.477988,-4.6477537,-2.0775254,-6.22753,5.0122676,-6.7988305,4.6111646,-2.5226467,-4.833762,-3.884854,-5.9800243,-9.901891,-1.4322727,-6.6950893,-3.2523844,-2.2784991,-1.9073693,-1.9347203,1.6541663,-3.424537,-0.89155805,-1.5881066,-3.5871813,0
-126.74447,100.81135,10.105859,35.378517,10.361567,-0.36788225,-0.6894335,-15.325094,-16.50176,-2.8641348,-5.835809,-4.5355983,-19.194283,2.2016406,-2.7688181,-12.3804455,-1.9139148,-4.422411,-10.797099,1.9016086,-4.470439,-3.4185328,-6.270774,-3.6048975,-7.567186,-4.743917,-4.530655,-3.815861,-2.5891438,-3.9040112,0
-164.17189,135.51767,-23.375353,28.386345,-29.97764,-6.8270674,-7.1285,-15.498156,-16.362043,0.45546988,-5.274556,0.14979881,-13.705787,1.0548116,-9.471886,-11.950406,-7.2150364,-10.664492,-13.995744,-5.850606,-11.306865,-8.399736,-8.305834,-9.347903,-7.325997,-7.68093,-4.754798,-7.104678,-5.9757657,-5.6144238,0
-69.37877,156.8938,-0.62379456,-2.2211032,8.15618,-8.760723,-22.721104,-6.45226,-8.855352,-7.6109767,-6.2545867,-5.6622806,-8.22492,5.042752,-12.1831455,0.96281695,-6.193274,-6.2594767,-6.050317,-7.5102487,-2.5907986,-5.3001223,-3.2392452,-1.2429092,-7.6941795,-2.135517,-2.2742577,-5.9562964,-2.508053,-1.8338904,0
-142.50174,94.57159,-0.974908,5.2597218,-10.161879,-9.974019,-26.382967,-5.388829,-12.43925,-14.639616,-9.126507,-0.7517456,-13.478801,3.5307708,-13.224954,-2.697356,-4.7152295,-4.81542,-2.798768,-3.0208588,-1.8135543,-2.5030065,-1.6553936,-1.4807935,-4.613605,-1.1790471,-4.319327,-2.7397263,-6.5074596,-0.4258565,0
